Date,Team 1,Team 1 Score,Team 2,Team 2 Score,
9/25/15,@Lakehead,88,Manitoba,81,
9/26/15,@Lakehead,80,Manitoba,73,
10/1/15,@Lakehead,78,Winnipeg,73,
10/2/15,@Concordia QC,77,Queen's ON,76,
10/2/15,Winnipeg,76,@Lakehead,73,
10/2/15,@Nipissing,84,Bishop's,70,
10/2/15,Ottawa ON,90,Alberta,62,
10/2/15,Saskatchewan,91,Fraser Val,82,
10/2/15,St Mary's NS,83,Laval,60,
10/2/15,McGill,83,@Toronto,64,
10/2/15,@Brit Columbia,79,Guelph,68,
10/2/15,@Okanagan,92,Univ Lethbridge,86,
10/2/15,UPEI,97,@New Brunswick,88,
10/2/15,Memorial,85,Northern BC,71,
10/2/15,Carleton ON,80,@Victoria,47,
10/3/15,Carleton ON,71,Fraser Val,67,
10/3/15,McGill,62,@McMaster,59,
10/3/15,Memorial,84,Alberta,72,
10/3/15,Western ON,88,@Nipissing,69,
10/3/15,Ottawa ON,84,@Brit Columbia,77,
10/3/15,Univ Lethbridge,89,@Okanagan,55,
10/3/15,St Mary's NS,100,@New Brunswick,94,
10/3/15,Northern BC,101,Guelph,80,
10/3/15,Laval,97,UPEI,95,
10/3/15,Saskatchewan,95,@Victoria,72,
10/4/15,Alberta,88,Guelph,77,
10/4/15,@Ryerson,69,McGill,66,
10/4/15,Saskatchewan,82,Carleton ON,80,
10/4/15,@Brit Columbia,88,Memorial,81,
10/4/15,@New Brunswick,101,Laval,75,
10/4/15,Ottawa ON,105,Northern BC,72,
10/4/15,St Mary's NS,113,UPEI,107,
10/4/15,@Victoria,76,Fraser Val,49,
10/4/15,Western ON,73,Bishop's,53,
10/8/15,@Acadia,98,St Mary's NS,83,
10/8/15,Brock,103,@Brandon,86,
10/8/15,@Calgary,93,Saskatchewan,81,
10/8/15,@Concordia QC,82,Laurentian,57,
10/8/15,St Fran Xavier,91,@Toronto,75,
10/8/15,UPEI,101,Laurier,93,
10/9/15,@Calgary,76,Alberta,64,
10/9/15,@Concordia QC,79,Laurier,60,
10/9/15,@Lakehead,79,Algoma,60,
10/9/15,Grant MacEwan,65,@Manitoba,64,
10/9/15,Saskatchewan,69,@Mt Royal,62,
10/9/15,Fraser Val,90,@Trinity Western,81,
10/9/15,UPEI,93,Laurentian,87,
10/9/15,Dalhousie,83,@Waterloo,70,
10/9/15,Brock,81,Winnipeg,52,
10/9/15,@York ON,106,St Fran Xavier,96,
10/10/15,@Concordia QC,82,UPEI,70,
10/10/15,@Fraser Val,77,Trinity Western,68,
10/10/15,@Guelph,87,St Fran Xavier,78,
10/10/15,@Lakehead,73,Algoma,68,
10/10/15,Laurentian,95,Laurier,84,
10/10/15,Brock,79,@Manitoba,75,
10/10/15,@McMaster,81,Dalhousie,61,
10/10/15,@Mt Royal,53,Alberta,50,
10/10/15,Winnipeg,75,Grant MacEwan,66,
10/11/15,@Brandon,114,Grant MacEwan,107,
10/15/15,@McMaster,90,Cape Breton,68,
10/15/15,Concordia QC,80,@Saskatchewan,67,
10/15/15,Windsor,94,Regina,80,
10/16/15,Lakeland AB,110,@Augustana AB,61,
10/16/15,@Calgary,88,Mt Royal,66,
